generator,paper_id,folder,paper_file,tables_file,n_tables
gpt4o,generated_paper_152,gpt4o/generated_paper_152,gpt4o/generated_paper_152/paper.tex,gpt4o/generated_paper_152/extracted_tables.json,3
gpt4o,generated_paper_153,gpt4o/generated_paper_153,gpt4o/generated_paper_153/paper.tex,gpt4o/generated_paper_153/extracted_tables.json,2
gpt4o,generated_paper_154,gpt4o/generated_paper_154,gpt4o/generated_paper_154/paper.tex,gpt4o/generated_paper_154/extracted_tables.json,1
gpt4o,generated_paper_155,gpt4o/generated_paper_155,gpt4o/generated_paper_155/paper.tex,gpt4o/generated_paper_155/extracted_tables.json,3
gpt4o,generated_paper_156,gpt4o/generated_paper_156,gpt4o/generated_paper_156/paper.tex,gpt4o/generated_paper_156/extracted_tables.json,2
gpt4o,generated_paper_157,gpt4o/generated_paper_157,gpt4o/generated_paper_157/paper.tex,gpt4o/generated_paper_157/extracted_tables.json,3
gpt4o,generated_paper_158,gpt4o/generated_paper_158,gpt4o/generated_paper_158/paper.tex,gpt4o/generated_paper_158/extracted_tables.json,3
gpt4o,generated_paper_159,gpt4o/generated_paper_159,gpt4o/generated_paper_159/paper.tex,gpt4o/generated_paper_159/extracted_tables.json,1
gpt4o,generated_paper_15,gpt4o/generated_paper_15,gpt4o/generated_paper_15/paper.tex,gpt4o/generated_paper_15/extracted_tables.json,2
gpt4o,generated_paper_160,gpt4o/generated_paper_160,gpt4o/generated_paper_160/paper.tex,gpt4o/generated_paper_160/extracted_tables.json,2
gpt4o,generated_paper_161,gpt4o/generated_paper_161,gpt4o/generated_paper_161/paper.tex,gpt4o/generated_paper_161/extracted_tables.json,2
gpt4o,generated_paper_162,gpt4o/generated_paper_162,gpt4o/generated_paper_162/paper.tex,gpt4o/generated_paper_162/extracted_tables.json,3
gpt4o,generated_paper_163,gpt4o/generated_paper_163,gpt4o/generated_paper_163/paper.tex,gpt4o/generated_paper_163/extracted_tables.json,1
gpt4o,generated_paper_164,gpt4o/generated_paper_164,gpt4o/generated_paper_164/paper.tex,gpt4o/generated_paper_164/extracted_tables.json,2
gpt4o,generated_paper_165,gpt4o/generated_paper_165,gpt4o/generated_paper_165/paper.tex,gpt4o/generated_paper_165/extracted_tables.json,1
gpt4o,generated_paper_166,gpt4o/generated_paper_166,gpt4o/generated_paper_166/paper.tex,gpt4o/generated_paper_166/extracted_tables.json,3
gpt4o,generated_paper_167,gpt4o/generated_paper_167,gpt4o/generated_paper_167/paper.tex,gpt4o/generated_paper_167/extracted_tables.json,1
gpt4o,generated_paper_168,gpt4o/generated_paper_168,gpt4o/generated_paper_168/paper.tex,gpt4o/generated_paper_168/extracted_tables.json,2
gpt4o,generated_paper_169,gpt4o/generated_paper_169,gpt4o/generated_paper_169/paper.tex,gpt4o/generated_paper_169/extracted_tables.json,1
gpt4o,generated_paper_16,gpt4o/generated_paper_16,gpt4o/generated_paper_16/paper.tex,gpt4o/generated_paper_16/extracted_tables.json,3
gpt4o,generated_paper_170,gpt4o/generated_paper_170,gpt4o/generated_paper_170/paper.tex,gpt4o/generated_paper_170/extracted_tables.json,2
gpt4o,generated_paper_171,gpt4o/generated_paper_171,gpt4o/generated_paper_171/paper.tex,gpt4o/generated_paper_171/extracted_tables.json,2
gpt4o,generated_paper_172,gpt4o/generated_paper_172,gpt4o/generated_paper_172/paper.tex,gpt4o/generated_paper_172/extracted_tables.json,1
gpt4o,generated_paper_173,gpt4o/generated_paper_173,gpt4o/generated_paper_173/paper.tex,gpt4o/generated_paper_173/extracted_tables.json,2
gpt4o,generated_paper_174,gpt4o/generated_paper_174,gpt4o/generated_paper_174/paper.tex,gpt4o/generated_paper_174/extracted_tables.json,2
gpt4o,generated_paper_175,gpt4o/generated_paper_175,gpt4o/generated_paper_175/paper.tex,gpt4o/generated_paper_175/extracted_tables.json,3
gpt4o,generated_paper_176,gpt4o/generated_paper_176,gpt4o/generated_paper_176/paper.tex,gpt4o/generated_paper_176/extracted_tables.json,2
gpt4o,generated_paper_177,gpt4o/generated_paper_177,gpt4o/generated_paper_177/paper.tex,gpt4o/generated_paper_177/extracted_tables.json,2
gpt4o,generated_paper_178,gpt4o/generated_paper_178,gpt4o/generated_paper_178/paper.tex,gpt4o/generated_paper_178/extracted_tables.json,2
gpt4o,generated_paper_179,gpt4o/generated_paper_179,gpt4o/generated_paper_179/paper.tex,gpt4o/generated_paper_179/extracted_tables.json,3
gpt4o,generated_paper_17,gpt4o/generated_paper_17,gpt4o/generated_paper_17/paper.tex,gpt4o/generated_paper_17/extracted_tables.json,3
gpt4o,generated_paper_180,gpt4o/generated_paper_180,gpt4o/generated_paper_180/paper.tex,gpt4o/generated_paper_180/extracted_tables.json,2
gpt4o,generated_paper_181,gpt4o/generated_paper_181,gpt4o/generated_paper_181/paper.tex,gpt4o/generated_paper_181/extracted_tables.json,2
gpt4o,generated_paper_182,gpt4o/generated_paper_182,gpt4o/generated_paper_182/paper.tex,gpt4o/generated_paper_182/extracted_tables.json,3
gpt4o,generated_paper_183,gpt4o/generated_paper_183,gpt4o/generated_paper_183/paper.tex,gpt4o/generated_paper_183/extracted_tables.json,2
gpt4o,generated_paper_184,gpt4o/generated_paper_184,gpt4o/generated_paper_184/paper.tex,gpt4o/generated_paper_184/extracted_tables.json,2
gpt4o,generated_paper_185,gpt4o/generated_paper_185,gpt4o/generated_paper_185/paper.tex,gpt4o/generated_paper_185/extracted_tables.json,2
gpt4o,generated_paper_186,gpt4o/generated_paper_186,gpt4o/generated_paper_186/paper.tex,gpt4o/generated_paper_186/extracted_tables.json,2
gpt4o,generated_paper_187,gpt4o/generated_paper_187,gpt4o/generated_paper_187/paper.tex,gpt4o/generated_paper_187/extracted_tables.json,3
gpt4o,generated_paper_188,gpt4o/generated_paper_188,gpt4o/generated_paper_188/paper.tex,gpt4o/generated_paper_188/extracted_tables.json,3
gpt4o,generated_paper_189,gpt4o/generated_paper_189,gpt4o/generated_paper_189/paper.tex,gpt4o/generated_paper_189/extracted_tables.json,1
gpt4o,generated_paper_18,gpt4o/generated_paper_18,gpt4o/generated_paper_18/paper.tex,gpt4o/generated_paper_18/extracted_tables.json,2
gpt4o,generated_paper_190,gpt4o/generated_paper_190,gpt4o/generated_paper_190/paper.tex,gpt4o/generated_paper_190/extracted_tables.json,3
gpt4o,generated_paper_191,gpt4o/generated_paper_191,gpt4o/generated_paper_191/paper.tex,gpt4o/generated_paper_191/extracted_tables.json,1
gpt4o,generated_paper_192,gpt4o/generated_paper_192,gpt4o/generated_paper_192/paper.tex,gpt4o/generated_paper_192/extracted_tables.json,1
gpt4o,generated_paper_193,gpt4o/generated_paper_193,gpt4o/generated_paper_193/paper.tex,gpt4o/generated_paper_193/extracted_tables.json,2
gpt4o,generated_paper_194,gpt4o/generated_paper_194,gpt4o/generated_paper_194/paper.tex,gpt4o/generated_paper_194/extracted_tables.json,1
gpt4o,generated_paper_195,gpt4o/generated_paper_195,gpt4o/generated_paper_195/paper.tex,gpt4o/generated_paper_195/extracted_tables.json,1
gpt4o,generated_paper_196,gpt4o/generated_paper_196,gpt4o/generated_paper_196/paper.tex,gpt4o/generated_paper_196/extracted_tables.json,3
gpt4o,generated_paper_197,gpt4o/generated_paper_197,gpt4o/generated_paper_197/paper.tex,gpt4o/generated_paper_197/extracted_tables.json,2
gpt4o,generated_paper_198,gpt4o/generated_paper_198,gpt4o/generated_paper_198/paper.tex,gpt4o/generated_paper_198/extracted_tables.json,3
gpt4o,generated_paper_199,gpt4o/generated_paper_199,gpt4o/generated_paper_199/paper.tex,gpt4o/generated_paper_199/extracted_tables.json,2
gpt4o,generated_paper_19,gpt4o/generated_paper_19,gpt4o/generated_paper_19/paper.tex,gpt4o/generated_paper_19/extracted_tables.json,2
gpt4o,generated_paper_1,gpt4o/generated_paper_1,gpt4o/generated_paper_1/paper.tex,gpt4o/generated_paper_1/extracted_tables.json,2
gpt4o,generated_paper_200,gpt4o/generated_paper_200,gpt4o/generated_paper_200/paper.tex,gpt4o/generated_paper_200/extracted_tables.json,1
gpt4o,generated_paper_201,gpt4o/generated_paper_201,gpt4o/generated_paper_201/paper.tex,gpt4o/generated_paper_201/extracted_tables.json,2
gpt4o,generated_paper_202,gpt4o/generated_paper_202,gpt4o/generated_paper_202/paper.tex,gpt4o/generated_paper_202/extracted_tables.json,1
gpt4o,generated_paper_203,gpt4o/generated_paper_203,gpt4o/generated_paper_203/paper.tex,gpt4o/generated_paper_203/extracted_tables.json,3
gpt4o,generated_paper_204,gpt4o/generated_paper_204,gpt4o/generated_paper_204/paper.tex,gpt4o/generated_paper_204/extracted_tables.json,1
gpt4o,generated_paper_205,gpt4o/generated_paper_205,gpt4o/generated_paper_205/paper.tex,gpt4o/generated_paper_205/extracted_tables.json,3
gpt4o,generated_paper_207,gpt4o/generated_paper_207,gpt4o/generated_paper_207/paper.tex,gpt4o/generated_paper_207/extracted_tables.json,2
gpt4o,generated_paper_208,gpt4o/generated_paper_208,gpt4o/generated_paper_208/paper.tex,gpt4o/generated_paper_208/extracted_tables.json,1
gpt4o,generated_paper_20,gpt4o/generated_paper_20,gpt4o/generated_paper_20/paper.tex,gpt4o/generated_paper_20/extracted_tables.json,2
gpt4o,generated_paper_210,gpt4o/generated_paper_210,gpt4o/generated_paper_210/paper.tex,gpt4o/generated_paper_210/extracted_tables.json,1
gpt4o,generated_paper_211,gpt4o/generated_paper_211,gpt4o/generated_paper_211/paper.tex,gpt4o/generated_paper_211/extracted_tables.json,2
gpt4o,generated_paper_212,gpt4o/generated_paper_212,gpt4o/generated_paper_212/paper.tex,gpt4o/generated_paper_212/extracted_tables.json,3
gpt4o,generated_paper_213,gpt4o/generated_paper_213,gpt4o/generated_paper_213/paper.tex,gpt4o/generated_paper_213/extracted_tables.json,4
gpt4o,generated_paper_214,gpt4o/generated_paper_214,gpt4o/generated_paper_214/paper.tex,gpt4o/generated_paper_214/extracted_tables.json,2
gpt4o,generated_paper_215,gpt4o/generated_paper_215,gpt4o/generated_paper_215/paper.tex,gpt4o/generated_paper_215/extracted_tables.json,2
gpt4o,generated_paper_218,gpt4o/generated_paper_218,gpt4o/generated_paper_218/paper.tex,gpt4o/generated_paper_218/extracted_tables.json,2
gpt4o,generated_paper_219,gpt4o/generated_paper_219,gpt4o/generated_paper_219/paper.tex,gpt4o/generated_paper_219/extracted_tables.json,2
gpt4o,generated_paper_21,gpt4o/generated_paper_21,gpt4o/generated_paper_21/paper.tex,gpt4o/generated_paper_21/extracted_tables.json,3
gpt4o,generated_paper_220,gpt4o/generated_paper_220,gpt4o/generated_paper_220/paper.tex,gpt4o/generated_paper_220/extracted_tables.json,1
gpt4o,generated_paper_222,gpt4o/generated_paper_222,gpt4o/generated_paper_222/paper.tex,gpt4o/generated_paper_222/extracted_tables.json,2
gpt4o,generated_paper_223,gpt4o/generated_paper_223,gpt4o/generated_paper_223/paper.tex,gpt4o/generated_paper_223/extracted_tables.json,3
gpt4o,generated_paper_224,gpt4o/generated_paper_224,gpt4o/generated_paper_224/paper.tex,gpt4o/generated_paper_224/extracted_tables.json,1
gpt4o,generated_paper_225,gpt4o/generated_paper_225,gpt4o/generated_paper_225/paper.tex,gpt4o/generated_paper_225/extracted_tables.json,1
gpt4o,generated_paper_226,gpt4o/generated_paper_226,gpt4o/generated_paper_226/paper.tex,gpt4o/generated_paper_226/extracted_tables.json,2
gpt4o,generated_paper_227,gpt4o/generated_paper_227,gpt4o/generated_paper_227/paper.tex,gpt4o/generated_paper_227/extracted_tables.json,3
gpt4o,generated_paper_22,gpt4o/generated_paper_22,gpt4o/generated_paper_22/paper.tex,gpt4o/generated_paper_22/extracted_tables.json,3
gpt4o,generated_paper_230,gpt4o/generated_paper_230,gpt4o/generated_paper_230/paper.tex,gpt4o/generated_paper_230/extracted_tables.json,2
gpt4o,generated_paper_231,gpt4o/generated_paper_231,gpt4o/generated_paper_231/paper.tex,gpt4o/generated_paper_231/extracted_tables.json,1
gpt4o,generated_paper_232,gpt4o/generated_paper_232,gpt4o/generated_paper_232/paper.tex,gpt4o/generated_paper_232/extracted_tables.json,1
gpt4o,generated_paper_233,gpt4o/generated_paper_233,gpt4o/generated_paper_233/paper.tex,gpt4o/generated_paper_233/extracted_tables.json,2
gpt4o,generated_paper_234,gpt4o/generated_paper_234,gpt4o/generated_paper_234/paper.tex,gpt4o/generated_paper_234/extracted_tables.json,3
gpt4o,generated_paper_235,gpt4o/generated_paper_235,gpt4o/generated_paper_235/paper.tex,gpt4o/generated_paper_235/extracted_tables.json,2
gpt4o,generated_paper_236,gpt4o/generated_paper_236,gpt4o/generated_paper_236/paper.tex,gpt4o/generated_paper_236/extracted_tables.json,1
gpt4o,generated_paper_237,gpt4o/generated_paper_237,gpt4o/generated_paper_237/paper.tex,gpt4o/generated_paper_237/extracted_tables.json,3
gpt4o,generated_paper_238,gpt4o/generated_paper_238,gpt4o/generated_paper_238/paper.tex,gpt4o/generated_paper_238/extracted_tables.json,2
gpt4o,generated_paper_23,gpt4o/generated_paper_23,gpt4o/generated_paper_23/paper.tex,gpt4o/generated_paper_23/extracted_tables.json,2
gpt4o,generated_paper_240,gpt4o/generated_paper_240,gpt4o/generated_paper_240/paper.tex,gpt4o/generated_paper_240/extracted_tables.json,2
gpt4o,generated_paper_241,gpt4o/generated_paper_241,gpt4o/generated_paper_241/paper.tex,gpt4o/generated_paper_241/extracted_tables.json,2
gpt4o,generated_paper_242,gpt4o/generated_paper_242,gpt4o/generated_paper_242/paper.tex,gpt4o/generated_paper_242/extracted_tables.json,3
gpt4o,generated_paper_244,gpt4o/generated_paper_244,gpt4o/generated_paper_244/paper.tex,gpt4o/generated_paper_244/extracted_tables.json,2
gpt4o,generated_paper_245,gpt4o/generated_paper_245,gpt4o/generated_paper_245/paper.tex,gpt4o/generated_paper_245/extracted_tables.json,3
gpt4o,generated_paper_246,gpt4o/generated_paper_246,gpt4o/generated_paper_246/paper.tex,gpt4o/generated_paper_246/extracted_tables.json,1
gpt4o,generated_paper_248,gpt4o/generated_paper_248,gpt4o/generated_paper_248/paper.tex,gpt4o/generated_paper_248/extracted_tables.json,2
gpt4o,generated_paper_24,gpt4o/generated_paper_24,gpt4o/generated_paper_24/paper.tex,gpt4o/generated_paper_24/extracted_tables.json,2
gpt4o,generated_paper_250,gpt4o/generated_paper_250,gpt4o/generated_paper_250/paper.tex,gpt4o/generated_paper_250/extracted_tables.json,3
gpt4o,generated_paper_252,gpt4o/generated_paper_252,gpt4o/generated_paper_252/paper.tex,gpt4o/generated_paper_252/extracted_tables.json,2
gpt4o,generated_paper_255,gpt4o/generated_paper_255,gpt4o/generated_paper_255/paper.tex,gpt4o/generated_paper_255/extracted_tables.json,4
gpt4o,generated_paper_256,gpt4o/generated_paper_256,gpt4o/generated_paper_256/paper.tex,gpt4o/generated_paper_256/extracted_tables.json,1
gpt4o,generated_paper_258,gpt4o/generated_paper_258,gpt4o/generated_paper_258/paper.tex,gpt4o/generated_paper_258/extracted_tables.json,2
gpt4o,generated_paper_259,gpt4o/generated_paper_259,gpt4o/generated_paper_259/paper.tex,gpt4o/generated_paper_259/extracted_tables.json,3
gpt4o,generated_paper_25,gpt4o/generated_paper_25,gpt4o/generated_paper_25/paper.tex,gpt4o/generated_paper_25/extracted_tables.json,2
gpt4o,generated_paper_260,gpt4o/generated_paper_260,gpt4o/generated_paper_260/paper.tex,gpt4o/generated_paper_260/extracted_tables.json,2
gpt4o,generated_paper_262,gpt4o/generated_paper_262,gpt4o/generated_paper_262/paper.tex,gpt4o/generated_paper_262/extracted_tables.json,3
gpt4o,generated_paper_263,gpt4o/generated_paper_263,gpt4o/generated_paper_263/paper.tex,gpt4o/generated_paper_263/extracted_tables.json,1
gpt4o,generated_paper_264,gpt4o/generated_paper_264,gpt4o/generated_paper_264/paper.tex,gpt4o/generated_paper_264/extracted_tables.json,3
gpt4o,generated_paper_265,gpt4o/generated_paper_265,gpt4o/generated_paper_265/paper.tex,gpt4o/generated_paper_265/extracted_tables.json,2
gpt4o,generated_paper_266,gpt4o/generated_paper_266,gpt4o/generated_paper_266/paper.tex,gpt4o/generated_paper_266/extracted_tables.json,1
gpt4o,generated_paper_268,gpt4o/generated_paper_268,gpt4o/generated_paper_268/paper.tex,gpt4o/generated_paper_268/extracted_tables.json,2
gpt4o,generated_paper_269,gpt4o/generated_paper_269,gpt4o/generated_paper_269/paper.tex,gpt4o/generated_paper_269/extracted_tables.json,2
gpt4o,generated_paper_26,gpt4o/generated_paper_26,gpt4o/generated_paper_26/paper.tex,gpt4o/generated_paper_26/extracted_tables.json,1
gpt4o,generated_paper_270,gpt4o/generated_paper_270,gpt4o/generated_paper_270/paper.tex,gpt4o/generated_paper_270/extracted_tables.json,2
gpt4o,generated_paper_274,gpt4o/generated_paper_274,gpt4o/generated_paper_274/paper.tex,gpt4o/generated_paper_274/extracted_tables.json,3
gpt4o,generated_paper_275,gpt4o/generated_paper_275,gpt4o/generated_paper_275/paper.tex,gpt4o/generated_paper_275/extracted_tables.json,2
gpt4o,generated_paper_276,gpt4o/generated_paper_276,gpt4o/generated_paper_276/paper.tex,gpt4o/generated_paper_276/extracted_tables.json,2
gpt4o,generated_paper_277,gpt4o/generated_paper_277,gpt4o/generated_paper_277/paper.tex,gpt4o/generated_paper_277/extracted_tables.json,2
gpt4o,generated_paper_279,gpt4o/generated_paper_279,gpt4o/generated_paper_279/paper.tex,gpt4o/generated_paper_279/extracted_tables.json,2
gpt4o,generated_paper_27,gpt4o/generated_paper_27,gpt4o/generated_paper_27/paper.tex,gpt4o/generated_paper_27/extracted_tables.json,2
gpt4o,generated_paper_280,gpt4o/generated_paper_280,gpt4o/generated_paper_280/paper.tex,gpt4o/generated_paper_280/extracted_tables.json,2
gpt4o,generated_paper_281,gpt4o/generated_paper_281,gpt4o/generated_paper_281/paper.tex,gpt4o/generated_paper_281/extracted_tables.json,2
gpt4o,generated_paper_283,gpt4o/generated_paper_283,gpt4o/generated_paper_283/paper.tex,gpt4o/generated_paper_283/extracted_tables.json,1
gpt4o,generated_paper_284,gpt4o/generated_paper_284,gpt4o/generated_paper_284/paper.tex,gpt4o/generated_paper_284/extracted_tables.json,2
gpt4o,generated_paper_285,gpt4o/generated_paper_285,gpt4o/generated_paper_285/paper.tex,gpt4o/generated_paper_285/extracted_tables.json,2
gpt4o,generated_paper_286,gpt4o/generated_paper_286,gpt4o/generated_paper_286/paper.tex,gpt4o/generated_paper_286/extracted_tables.json,2
gpt4o,generated_paper_287,gpt4o/generated_paper_287,gpt4o/generated_paper_287/paper.tex,gpt4o/generated_paper_287/extracted_tables.json,2
gpt4o,generated_paper_288,gpt4o/generated_paper_288,gpt4o/generated_paper_288/paper.tex,gpt4o/generated_paper_288/extracted_tables.json,2
gpt4o,generated_paper_289,gpt4o/generated_paper_289,gpt4o/generated_paper_289/paper.tex,gpt4o/generated_paper_289/extracted_tables.json,2
gpt4o,generated_paper_28,gpt4o/generated_paper_28,gpt4o/generated_paper_28/paper.tex,gpt4o/generated_paper_28/extracted_tables.json,1
gpt4o,generated_paper_291,gpt4o/generated_paper_291,gpt4o/generated_paper_291/paper.tex,gpt4o/generated_paper_291/extracted_tables.json,2
gpt4o,generated_paper_292,gpt4o/generated_paper_292,gpt4o/generated_paper_292/paper.tex,gpt4o/generated_paper_292/extracted_tables.json,1
